anime_id,Name,Genres,Type,Studios,Source,Duration,Image URL
136,Hunter x Hunter,"Action, Adventure, Fantasy",TV,Nippon Animation,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/1305/132237.jpg
137,Hunter x Hunter: Original Video Animation,"Action, Adventure, Fantasy",OVA,Nippon Animation,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/1/137.jpg
138,Hunter x Hunter: Greed Island,"Action, Adventure, Fantasy",OVA,Nippon Animation,Manga,22 min per ep,https://cdn.myanimelist.net/images/anime/1902/122320.jpg
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Fantasy",OVA,Nippon Animation,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/1/139.jpg
141,Jinki:Extend,Sci-Fi,TV,feel.,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/3/44792.jpg
142,Kamikaze Kaitou Jeanne,"Action, Drama, Mystery, Romance, Supernatural",TV,Toei Animation,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/5/20389.jpg
143,Kannazuki no Miko,"Drama, Girls Love, Romance, Supernatural",TV,TNK,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/8/73955.jpg
144,Kanon,"Drama, Romance, Supernatural",TV,Toei Animation,Visual novel,24 min per ep,https://cdn.myanimelist.net/images/anime/1552/128388.jpg
145,Kareshi Kanojo no Jijou,"Comedy, Drama, Romance",TV,"Gainax, J.C.Staff",Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/1222/108880.jpg
146,Kono Minikuku mo Utsukushii Sekai,"Comedy, Drama, Romance, Sci-Fi, Ecchi",TV,"Gainax, Shaft",Original,24 min per ep,https://cdn.myanimelist.net/images/anime/10/21035.jpg
147,Kimi ga Nozomu Eien,"Drama, Romance",TV,Studio Fantasia,Visual novel,23 min per ep,https://cdn.myanimelist.net/images/anime/5/10227.jpg
148,Kita e.: Diamond Dust Drops,"Drama, Romance",TV,Studio Deen,Visual novel,24 min per ep,https://cdn.myanimelist.net/images/anime/1488/132892.jpg
149,Loveless,"Action, Boys Love, Drama, Mystery, Supernatural",TV,J.C.Staff,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/2/22947.jpg
150,Blood+,"Action, Drama, Horror, Mystery, Supernatural",TV,Production I.G,Original,24 min per ep,https://cdn.myanimelist.net/images/anime/10/10183.jpg
151,Re: Cutey Honey,"Action, Comedy, Girls Love, Sci-Fi, Ecchi",OVA,"Gainax, Toei Animation",Manga,46 min per ep,https://cdn.myanimelist.net/images/anime/6/52103.jpg
152,Solty Rei,"Action, Sci-Fi",TV,"Gonzo, AIC",Original,23 min per ep,https://cdn.myanimelist.net/images/anime/3/75582.jpg
153,Juuni Kokuki,"Action, Adventure, Fantasy",TV,Pierrot,Novel,25 min per ep,https://cdn.myanimelist.net/images/anime/6/50859.jpg
154,Shaman King,"Action, Adventure, Comedy, Supernatural",TV,Xebec,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/1722/99235.jpg
155,X/1999,"Action, Drama, Fantasy, Horror, Sci-Fi, Supernatural",Movie,Madhouse,Manga,1 hr 37 min,https://cdn.myanimelist.net/images/anime/7/23579.jpg
156,X,"Action, Drama, Fantasy, Romance",TV,Madhouse,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/8/17167.jpg
157,Mahou Sensei Negima!,"Comedy, Fantasy, Romance, Supernatural, Ecchi",TV,Xebec,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/12/89535.jpg
158,Maria-sama ga Miteru,"Drama, Girls Love",TV,Studio Deen,Light novel,24 min per ep,https://cdn.myanimelist.net/images/anime/1994/114208.jpg
159,Boukyaku no Senritsu,"Adventure, Fantasy, Horror, Sci-Fi, Supernatural",TV,"Gainax, J.C.Staff",Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/9/52679.jpg
160,"Ima, Soko ni Iru Boku","Adventure, Drama, Fantasy, Sci-Fi",TV,AIC,Original,24 min per ep,https://cdn.myanimelist.net/images/anime/1094/109008.jpg
161,Peace Maker Kurogane,"Action, Comedy",TV,Gonzo,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/10/77408.jpg
162,Pita Ten,"Comedy, Fantasy, Romance",TV,Madhouse,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/7/25205.jpg
163,Power Stone,"Adventure, Comedy, Fantasy",TV,Pierrot,Game,20 min per ep,https://cdn.myanimelist.net/images/anime/1110/98247.jpg
164,Mononoke Hime,"Action, Adventure, Award Winning, Fantasy",Movie,Studio Ghibli,Original,2 hr 13 min,https://cdn.myanimelist.net/images/anime/7/75919.jpg
165,RahXephon,"Action, Award Winning, Drama, Mystery, Romance, Sci-Fi",TV,Bones,Original,23 min per ep,https://cdn.myanimelist.net/images/anime/13/75168.jpg
166,Samurai 7,Sci-Fi,TV,Gonzo,Other,26 min per ep,https://cdn.myanimelist.net/images/anime/1190/95421.jpg
167,Scrapped Princess,"Adventure, Comedy, Drama, Fantasy, Sci-Fi",TV,Bones,Light novel,23 min per ep,https://cdn.myanimelist.net/images/anime/1238/94717.jpg
